Name,Account Age,Tweet count,List count,Location,Followers,Following,Favorites,ID,Created at,Tweet,Retweet count,Likes/Favs,Hashtag count,URL count,Tweet length,Place of tweet,mention count,tweet source
Ryandude5678,2,14025,6,"Earth, obviously.",229,610,15139,1382743491088879620,2021-04-15 17:11:53,"Season 2 is officially complete! I'm super excited to share this with you all tomorrow. 

Stay tuned! 😎 https://t.co/2jdK2IPriM",0,0,0,1,127,,0,Twitter Web App
AsTheRain1,2,6838,2,,654,281,30099,1382743491063779328,2021-04-15 17:11:53,"@jamesofcarmel Remind me, which one said they wanted to go off on their own and leave the other one alone, and whic… https://t.co/KqifZpjYLB",0,0,0,1,140,,1,Twitter for iPhone
mollysuave,10,23215,0,"Tampa, FL",363,288,6685,1382743490963120132,2021-04-15 17:11:53,what’s ur favorite bread? this is important,0,0,0,0,43,,0,Twitter for iPhone
BarbieD64198849,1,5262,0,,135,42,10563,1382743490568859651,2021-04-15 17:11:52,@PushpitaHumaira @DheerajDhoopar @AryaSmilesa @PreeranLover @mannushaikh2 @cferr29 @dhoopii_fan @RocksPreeran… https://t.co/mKdMJ3PDtE,0,0,0,1,134,,8,Twitter for Android
OEveryword,1,54822,0,,11,0,1,1382743490514272260,2021-04-15 17:11:52,OPERATION: JOTTED is a go!,0,0,0,0,26,,0,"Cheap Bots, Done Quick!"
CierradaDon,1,1510,0,Alabama 205,104,125,1692,1382743490279452672,2021-04-15 17:11:52,I wonder where my soulmate is at?,0,0,0,0,33,,0,Twitter for iPhone
elginfastener,2,523,0,,156,22,1,1382743490203893763,2021-04-15 17:11:52,"IT;'S NATIONAL TAKE A WILD GUESS DAY!
Is it a calculated risk to celebrate National Take A Wild Guess Day each year… https://t.co/LUKGBVcTYX",0,0,0,1,140,,0,HubSpot
Official_Neeti,2,19966,5,Chhattisgarh(Mahasamund) India,22853,8261,19828,1382743490191257605,2021-04-15 17:11:52,God in RigVeda says that if someone is nearing death and has an incurable illness then I (God) can cure that illnes… https://t.co/HFo9lt71xV,0,0,0,1,140,,0,Twitter for Android
JanvandenHemel,8,3340,332,"Ghent, Belgium",24150,548,5714,1382743490115874819,2021-04-15 17:11:52,Creating stylized hair is easy by drawing tapered curves on surfaces with the Draw Tool in #blender #b3d #bnpr https://t.co/ATW25Mbvhg,0,0,3,0,134,,0,Twitter Web App
D1LLYD0P,1,3410,0,,14,0,11039,1382743490115694597,2021-04-15 17:11:52,everything is about me,0,0,0,0,22,,0,Twitter Web App
Matt_Fores,9,36,0,,0,53,8,1382743490061295618,2021-04-15 17:11:52,"@JayzTwoCents Awful, my FE gtx1080 is dying, pink pixels invaded the screen 😭😭😭",0,0,0,0,79,,1,Twitter for iPhone
Faheemasays,12,8159,1,India,157,732,29160,1382743490061287424,2021-04-15 17:11:52,@livemint No big deal..If not now then when? ..there are far more philanthropists in this world with lesser wealth… https://t.co/sulfar14Bm,0,0,0,1,139,,1,Twitter for iPhone
EvePhobia,1,2259,4,she/her | minor | bi ,111,204,24994,1382743490027732993,2021-04-15 17:11:52,@dreamtxtupdate My birthday is in 12 days 😜,0,0,0,0,43,,1,Twitter for iPhone
WiltshireMakers,1,493,3,"Salisbury, Wiltshire",258,433,560,1382743489981583365,2021-04-15 17:11:52,Now this closing date is still open @clairelouh_ 😂 perfect one for your pics 📸 https://t.co/39Pfs74lr9,0,0,0,1,102,"Salisbury, England",1,Twitter for Android
Justicecisco4,3,2971,0,Northwest. Mooipan. Mahikeng ,542,537,7014,1382743489960611847,2021-04-15 17:11:52,"This is the left foot i was talking about. It's about bloody time.
Zwane otla mpolaya ka pelo straight. 😭😭😭😭",0,0,0,0,108,,0,Twitter for Android
mmahesh1,12,8534,67,"Baltimore, MD • USA",2891,1088,25493,1382743489914486785,2021-04-15 17:11:52,This is really good news. Thanks @HopkinsMedicine for arranging us to get COVID vaccine early and on time. https://t.co/eciWUZkYFw,0,0,0,1,130,"Baltimore, MD",1,Twitter for iPhone
Yooperliving,11,1107,0,"Escanaba, Michigan",11,35,5,1382743489889366020,2021-04-15 17:11:52,"@seanhannity You get SUED by your neighbor, and HE gets to pick the JUDGE and JURY who will hear the CASE... and  T… https://t.co/vFcfeQEPZE",0,0,0,1,140,,1,Twitter Web App
PacesetterGames,3,179,1,"Michigan, USA",486,1459,130,1382743489868394497,2021-04-15 17:11:52,"Sleep is overrated; why not sit and stare into the void of space musing on your past mistakes instead?

#dnd… https://t.co/FLRgUGtA9J",0,0,1,1,133,,0,Loomly
J0ZlF,3,3490,1,tx ,42,173,4939,1382743489843064833,2021-04-15 17:11:52,"@BCoIe_ @TristanGHill This is such a bad take, I’m not even an alcoholic like that but getting drunk with friends is fun asf",0,0,0,0,124,,2,Twitter for iPhone
radiokaatt,0,167,1,winters children✦,208,510,1121,1382743489763508231,2021-04-15 17:11:52,The friendship goals between Julian and Jett is something so special to me https://t.co/Q6glacOrcN,0,0,0,0,98,,0,Twitter for Android
justinlacambra,6,1592,0,"Akihabara, Tokyo",25,475,289,1382743489755025414,2021-04-15 17:11:52,@WizardBLZ @Parasite @Fire40 @Jintroid @MackMelts @SibDMDL Fire is horrid,0,0,0,0,73,,6,Twitter for iPhone
who_kennedy,9,55346,2,,5193,986,96876,1382743489754976257,2021-04-15 17:11:52,@cammthegoatt @ThatguyMaleio Y’all please don’t make me cry this is not the time! 🥺,0,0,0,0,83,,2,Twitter for iPhone
ImaniNel,10,216208,32,United States,3120,1146,1301,1382743489729937412,2021-04-15 17:11:52,93 gas is high af 😫,0,0,0,0,19,,0,Twitter for iPhone
karl_haynes,8,21910,20,"Portland, OR",716,1162,18583,1382743489536950272,2021-04-15 17:11:52,"@nicolepruett1 Sadly. I fear you're correct.

Trump promised to pull out in 2020. The Military told him to fuck off… https://t.co/Zu3zumqbZm",0,0,0,1,140,,1,Twitter Web App
tommytaylor2250,11,11066,11,"Leeds, England",2240,1265,8970,1382743489511821312,2021-04-15 17:11:52,In any other working environment he would have been escorted off the premises and his employment terminated for gro… https://t.co/h15MpaZPJR,0,0,0,1,140,,0,Twitter for Android
ManiSuresh16,5,10,0,"Madurai South, India",8,155,6,1382743489494982657,2021-04-15 17:11:52,@LICOFINDIA_Mum @LICOFINDIA_Mum sir: can you give the calculation sheet of  maturity sum assured in Jeevan saral po… https://t.co/sa30QnwCQR,0,0,0,1,140,"Madurai South, India",2,Twitter for Android
winniewesley,11,152623,30,Right behind you,3850,2351,844,1382743489490878466,2021-04-15 17:11:52,But do Nigerians have this post pregnancy scars like Oyinbo. And is it permanent or it disappears after a while??,0,0,0,0,113,,0,Twitter for iPhone
Anton_Calderon,12,69,2,Gibraltar,104,183,276,1382743489461547015,2021-04-15 17:11:52,@ty_duarte @GBossino @neoghio @JonScottGib Nonsense. That would imply that Gibraltarians are in any way different t… https://t.co/uUWhKyfuVJ,0,0,0,1,140,,4,Twitter for Android
kn0wmadic,0,618,1,"Cleveland, OH",243,417,1055,1382743489427935238,2021-04-15 17:11:52,"@NetworkSmitty If your criteria is a behemoth, then definitely not, but I don’t know that I would agree that $12Bn+… https://t.co/0vNXXwmtu7",0,0,0,1,140,,1,Twitter for iPhone
MR_jeevankumar,5,25193,0,"Guntur, India",1674,260,87524,1382743489398640640,2021-04-15 17:11:52,"@Charan_Universe @AlwaysRamCharan @MsKajalAggarwal @hegdepooja Is there any need to ask 
Obviously RC - Kaj",0,0,0,0,107,,4,Twitter for Android
fightingforyang,1,11064,4,"Marengo, IL",776,1212,7565,1382743489348214784,2021-04-15 17:11:52,He is a disgusting human being. The man should die in prison. https://t.co/Kcx8RGnqlo,0,0,0,1,85,,0,Twitter for iPhone
HredTxp,3,19552,6,,71,94,3152,1382743489306271750,2021-04-15 17:11:52,@MeidasTouch Check your story; headline is very misleading; that’s not to say the truth isn’t much better but repor… https://t.co/pe1DwdUkqM,0,0,0,1,140,,1,Twitter for iPhone
terror_exe,3,21102,0,,208,1,6,1382743489222414338,2021-04-15 17:11:52,"the terror is a love story, but with scurvy",0,0,0,0,43,,0,"Cheap Bots, Done Quick!"
Junebuggedout,10,35138,3,"Sigmaland, USA",384,373,1287,1382743489209724930,2021-04-15 17:11:52,Let me rephrase that. Being single and looking during this era is a horrible idea,0,0,0,0,81,,0,Twitter for Android
parismarxoxo,4,217196,0,,41,3,0,1382743489146974211,2021-04-15 17:11:52,"that beauty blender, the loss of which he laments, is for the enormous majority, a mere training to act as a highlighter 😁",0,0,0,0,122,,0,"Cheap Bots, Done Quick!"
almxsthxman,2,18928,16,𝙾𝚛𝚊𝚎𝚐𝚞𝚔,476,501,18051,1382743489121767426,2021-04-15 17:11:52,@Steven64030798 ||MGS: The Phantom Pain (5) is free on Ecks bocks.,0,0,0,0,66,,1,Twitter for iPhone
JonFreier,8,7252,131,"Bellevue, WA and Dallas, TX",60556,284,47401,1382743489121636355,2021-04-15 17:11:52,"We work hard to embrace all perspectives at @TMobile, and awareness is not always enough. This April, we recognize… https://t.co/BaWcwvS92s",0,3,0,1,139,,1,Twitter for iPhone
skaboomizzy,10,20322,8,"Tampa Bay, FL",172,317,2051,1382743489113432064,2021-04-15 17:11:52,Time to check in on the Pirates and see how Mitch Keller is pitching -- oh. Oh no.,0,0,0,0,82,,0,Twitter Web App
Shayan_k88,1,7312,0,,216,244,8769,1382743489012764672,2021-04-15 17:11:52,#TLP ban will be an absolutely meaningless exercise if there is any kind of concession on the issue. this should be… https://t.co/naUhtAYKAp,0,0,1,1,140,,0,Twitter Web App
veronic16912774,2,31679,4,"  Poet, Latina , shutter🐞🇺🇲",1002,960,106693,1382743488991621122,2021-04-15 17:11:52,"@azcentral This breakup is considered important news? We have a pandemic that's still happening.

The vaccine shoul… https://t.co/4pQXPCUTkd",0,0,0,1,140,,1,Twitter Web App
BoulderLeah20,5,89599,3,Mountain Time,1729,4147,324018,1382743488979095552,2021-04-15 17:11:52,@FloydLawson78 @IanLysaght @MelissaJPeltier @NoahShachtman I was a journalism student in 2008 and they flat-out sai… https://t.co/qgrODCxVQX,0,0,0,1,140,,4,Twitter for iPhone
hanabot8,1,791,0,hana headquarters ,24,20,30,1382743488962318336,2021-04-15 17:11:52,"You see lads, by only jacking my cock to Hentai I’ve transcended the human capacity to become aroused to visual sti… https://t.co/fdbsNll7i7",0,0,0,1,140,,0,twittbot.net
chriskelnhofer,12,1949,0,,70,898,1015,1382743488823906304,2021-04-15 17:11:52,@hcsteinhardt @NateSilver538 Americans yes.  But when I describe the virus I see no reason to limit it to only its… https://t.co/Owkkiw0f5d,0,0,0,1,139,,2,Twitter Web App
francis_mezza,6,2492,2,"Belfast, Northern Ireland",1416,815,12741,1382743488819818503,2021-04-15 17:11:52,@DebrellenHill @PeteEvangelista Is it pronounced “boxed” or “bAxed”?,0,0,0,0,68,,2,Twitter for iPhone
Nrlainntsha,8,51764,0,Kuala Lumpur City,559,499,2230,1382743488786173953,2021-04-15 17:11:52,That levi plushie is shooo cute 🥺❤️,0,0,0,0,35,,0,Twitter for iPhone
AanshiYadav2,0,2,0,"Uttar Pradesh, India",0,11,6,1382743488781901825,2021-04-15 17:11:52,@drdineshbjp This is the very critical decision sir.I am not agree for this step we aren't able to attend our exami… https://t.co/cHq6Jz8hMj,0,0,0,1,140,,1,Twitter for Android
alijamieson,12,92200,45,"London, England",1188,1153,37880,1382743488769441793,2021-04-15 17:11:52,Like this is okay but I think there’s probably better out there https://t.co/RpJVJKvyKK,0,0,0,1,87,,0,Twitter for iPhone
nuintari,12,324,57,The Assylum,1291,474,7467,1382743488756858880,2021-04-15 17:11:52,"@patneedham_ @maxberger Wealth redistribution, watch as the bitcoin loving moron spends his hard earned cash on mor… https://t.co/d4SXrNULPc",0,0,0,1,140,,2,Twitter Web App
GraylingNorth,11,1748,37,"Leeds and Manchester, UK",982,1532,191,1382743488693952512,2021-04-15 17:11:52,Are you a #publicaffairs professional in the North looking for your next challenge? Our #Manchester office is curre… https://t.co/YUF9UZpUBD,0,0,2,1,140,,0,Twitter Web App
devinchy17,3,1349,0,"Los Angeles, CA",30,68,4296,1382743488689696770,2021-04-15 17:11:52,@lausdOGR @UTLAnow question for you. Which genius decided it is a good idea to have every child tested every week s… https://t.co/nwx01s9Wdd,0,0,0,1,140,,2,Twitter for iPhone
DeadPuppet3,1,414,0,,260,75,448,1382743488572231680,2021-04-15 17:11:52,@0sFor4001 I have something very similar to this . Different primary on mine. I'm willing to bet the secondary is a revert,0,0,0,0,122,,1,Twitter for Android
farfromroutine,7,1225,5,Texas,93,512,2675,1382743488559665152,2021-04-15 17:11:52,"Who is on your #TobaccoFreeCampus or #TobaccoFreeCommunities Committee? 

Check out this list and make sure everyon… https://t.co/RSrVWbAUu0",0,0,2,1,140,,0,Twitter for iPhone
awstauffer,6,4640,1,USA,549,235,9090,1382743488542994442,2021-04-15 17:11:52,"I don’t care about reward points and cash back like I should.

Reason is I love my Apple Card. 

I can be maxed out… https://t.co/3c4Yc3QdWj",0,0,0,1,140,,0,Twitter for iPhone
EFC_Mike79,8,85,3,"Liverpool, England",259,161,32,1382743488521981952,2021-04-15 17:11:52,@TheToffeeBlues @EvertonNewsFeed It would not surprise me if this ends up a draw to carry on the sequence of result… https://t.co/ydHdexEKNW,0,0,0,1,140,,2,Twitter Web App
JW_Chief,3,1733,3,United States,66,325,1074,1382743488509452296,2021-04-15 17:11:52,"Strixhaven! Some initial notes...

- The client doesn't appear to be giving people trouble, despite likely heavy lo… https://t.co/hRTYb3btaC",0,0,0,1,140,,0,TweetDeck
MissMalini,13,151539,1387,"Mumbai, India",2716611,4379,16263,1382743488484106240,2021-04-15 17:11:52,#JanhviKapoor has a wardrobe favourite and can't seem to get enough of it. Any guesses what it is? Read to find out… https://t.co/vBimZlvIAi,0,0,1,1,140,,0,Twitter Web App
kuumbalynx,12,1656,40,"Chicago, IL",1698,1166,841,1382743488438108164,2021-04-15 17:11:52,Join us right now for this event. Click link below to attend. https://t.co/lz32VPdvhk Mr. Campbell is the founder o… https://t.co/NYFJ2jP52J,0,0,0,2,140,,0,Twitter for iPhone
fatfuckpigslave,3,13233,1,"Calgary, Alberta",253,827,21132,1382743488433856515,2021-04-15 17:11:52,@pumpka_booty Is that a phone issue or provider issue? I’m not up on tech but I like iPhone because of ease of use,0,1,0,0,114,,1,Twitter for iPhone
haloangelsx,1,1968,5,she!her,202,238,1327,1382743488391958534,2021-04-15 17:11:52,"i love narry but lilo's frienship is literally the best
I am voting #Louies for #BestFanArmy at the #iHeartAwards https://t.co/ShgBqykAzG",0,0,3,1,137,,0,Twitter Web App
sean_legg,12,1031,3,,261,524,63376,1382743488291237888,2021-04-15 17:11:52,@SkimMilkAg I think Ford is planning to drop a small truck in below the Ranger.,0,0,0,0,79,,1,Twitter for iPhone
ZahidKhan820,2,7967,0,Pakistan,219,86,5409,1382743488286969857,2021-04-15 17:11:52,"The pawri is still on??

7YRS OF ROCKSTAR FUGGI",1,0,0,0,47,,0,Twitter for Android
67Capt_Canuck,10,147689,81,"Ottawa, Ontario",1973,2457,12157,1382743488257740809,2021-04-15 17:11:52,"Precisely!

 @erinotoole ‘s CP is planning to control our Bank Accounts via their ridiculously authoritarian no-pla… https://t.co/b9L8Wn6oNw",0,0,0,1,140,,1,Twitter for iPad
Boat_Hopper,0,642,5,Sitting On A Ledge,388,221,514,1382743488236765187,2021-04-15 17:11:52,"Ushi is a permanent resident of being under the sheets.

She likes naps.",0,1,0,0,72,,0,Twitter for Android
serlindsipity,13,34410,68,Colorado,3983,1652,48039,1382743488152801280,2021-04-15 17:11:52,@COBlackpacker One time is enough for me.,0,0,0,0,41,,1,Twitter Web App
BGworld,12,22261,2,,258,481,3000,1382743488127766530,2021-04-15 17:11:52,Just got offered to coach at the HS level today... had previous offers but this one is a great great opportunity...… https://t.co/LodWvwbpA1,0,0,0,1,140,,0,Twitter for iPhone
Yu_haotian,4,13,0,中华人民共和国,3,30,138,1382743488110944258,2021-04-15 17:11:52,"@JingKlaus The BBC and other media are silent collectively, even if it will affect all mankind and the earth, just… https://t.co/SaDpMrtSCD",0,1,0,1,139,,1,Twitter for iPhone
Vo_Vision,11,68222,16,Chicago Over Everything,1443,2016,17519,1382743488047947777,2021-04-15 17:11:52,@atJOEmamaHOUSE And they’re playing well don’t get me wrong but Steph is playing out of his mind rn,0,0,0,0,99,,1,Twitter for iPhone
ChrisReeves109,1,62,0,"Billings, MT",19,63,246,1382743488022777857,2021-04-15 17:11:52,"@Thrice Daedalus and Digging My Own Grave.
Special shoutout to Child of Dust for the amazing effect of making the l… https://t.co/37ZymN9ZqX",0,0,0,1,140,,1,Twitter Web App
TheGREATMoto,12,7319,0,"Cleveland, OH",127,71,21509,1382743487880302601,2021-04-15 17:11:52,"@SquallCharlson Duuuuuuuuude... I'm totally here for it! Marvelous is, just, the damn best. 🤣",0,0,0,0,93,,1,Twitter for Android
KyubiCrasher,6,20994,13,,419,308,17111,1382743487876005897,2021-04-15 17:11:52,To This day I'm shocked on how amazing this is https://t.co/AmzOr2allO,0,0,0,1,70,,0,Twitter Web App
alnwright,11,1582,3,,120,470,14296,1382743487859326976,2021-04-15 17:11:52,The courage of a 12-year-old - Yvonne Abraham asks: “...were superior’s hands tied by union [accused child sex abus… https://t.co/khY7Aacp8e,0,0,0,1,140,,0,Twitter for iPad
sc99_uk,9,3354,6,,351,766,9523,1382743487855140866,2021-04-15 17:11:52,Congratulations @J_L_Gallery and @Slo_Projects   The website Looks great and the content is strong https://t.co/PiwrsFn97E,0,0,0,1,122,,2,Twitter for iPad
LiamCrook1,10,77743,3,,6603,7242,146528,1382743487855083525,2021-04-15 17:11:52,@OdoiSZN10 If I was jealous or not the fact is without the oil money you lot would be out of business and city prob… https://t.co/mJcyYfOHTm,0,0,0,1,140,,1,Twitter for iPhone
trying_myself,1,3830,0,,26,97,4838,1382743487834038275,2021-04-15 17:11:52,@ppath2971_mr @AlokSah18726752 @JatinderTweets @BharadwajSpeaks its ok..I do not troll anyone on SM or in real life… https://t.co/LS85YGCMXd,0,0,0,1,140,,4,Twitter Web App
RealEvilkitten3,6,12264,2,,133,380,30403,1382743487800438787,2021-04-15 17:11:52,@chaoticgaythey right now mine is a penguin trying to figure out how to walk up a flight of very tall stairs,0,0,0,0,108,,1,Twitter Web App
Uchennaugochuk5,2,755,0,IMO State,49,253,207,1382743487792218113,2021-04-15 17:11:52,Baba is back hope he came back with Cows,0,0,0,0,40,,0,Twitter Web App
LiaQat701,0,62,0,"Multan, Pakistan",9,22,47,1382743487758553091,2021-04-15 17:11:52,"#LIKEapp Muhammad LiaQat is broadcasting a Magic Live, come and join in!https://t.co/VcigcX17zJ https://t.co/KfuWrY7RfT",0,0,1,1,119,,0,Likee Video
Roycie_Boy,7,657,0,,98,155,663,1382743487733329924,2021-04-15 17:11:52,"@TGreenNV @ByChrisMurray I mean still, predicting a college coach will leave to go to another college at some point… https://t.co/0nwL5yy326",0,0,0,1,140,,2,Twitter for Android
Smartiepants73,1,7892,5,"Brighton, England",1218,530,21409,1382743487691522049,2021-04-15 17:11:52,@JaclynNJohnston @farley_avril It’s 7 reported cases. That’s all I know. So each 1 = a reported case and remeber th… https://t.co/nfE90VMESf,0,0,0,1,140,,2,Twitter for iPhone
SabrinaHogan,9,28626,9,Georgia,4733,983,42035,1382743487641227265,2021-04-15 17:11:52,@YShovely Pending eligibility means they are reviewing it to see if it is eligible for benefits.,0,0,0,0,96,,1,Twitter Web App
derek_d_baker,4,8822,0,Richmond-Chicago-Indianapolis,190,250,119921,1382743487628599297,2021-04-15 17:11:52,@JameyEisenberg Why is Younghoe Koo on this list? 😂,0,0,0,0,51,,1,Twitter for iPhone
KJG_NBA,10,26784,87,The Q,3387,1276,6630,1382743487574122499,2021-04-15 17:11:52,"In his KJG debut, @JohnSuchan highlighted how Dean Wade, the kid from Kansas, is making a difference for the #Cavs.… https://t.co/YUvhNaSfzq",1,1,1,1,140,,1,Twitter for iPhone
n3dyamonarch,0,210,0,16 ,51,266,3146,1382743487523741697,2021-04-15 17:11:52,@tthiel12 @Breaking911 If u actually watched the trial and not just Twitter u would onow the exact opposite is happening,0,0,0,0,120,,2,Twitter for iPhone
Mamax2__,6,10739,0,,407,499,8417,1382743487511158788,2021-04-15 17:11:52,@SSABBRRAAA Is she even a mom?🥴,0,0,0,0,31,,1,Twitter for iPhone
Ehigborben,10,1775,0,,216,540,312,1382743487507013638,2021-04-15 17:11:52,"@IkejaElectric @kingfryo My meter number is 04266689050. I have been trying to load a token, it's not going through. Pls help",0,0,0,0,125,,2,Twitter for Android
joondionysuss,3,52281,14,she/her,648,552,74001,1382743487486029825,2021-04-15 17:11:52,@mlkszo The fact that every is just staring like hello,0,0,0,0,54,,1,Twitter for iPhone
intimate444,6,82400,34,( ◜ ♡ ◝ )she/her 21 satx,711,488,177513,1382743487427215362,2021-04-15 17:11:52,zia and i just want to make soup for our b*yfriends is that too much to ask for,0,0,0,0,79,,0,Twitter for iPhone
CJ4Six,12,83453,14,Moton Field ,583,554,4286,1382743487418880009,2021-04-15 17:11:52,"Jaycee Horn is a VERY good player. Fuck them analytics, turn on the tape or ask a WR that faced him.",0,0,0,0,100,,0,Twitter for Android
sunkissednymph,11,72339,29,🏳️‍⚧️🇮🇹🇦🇱🇺🇸💱🐾,6725,1479,125067,1382743487393763330,2021-04-15 17:11:52,What the fuck is an mspec lesbian like it sounds like a car https://t.co/npQkEBE7bZ,0,0,0,1,83,,0,Twitter for iPhone
JG_Underwood,8,2317,12,"Seattle, WA",757,712,5825,1382743487385194500,2021-04-15 17:11:52,@benjamin_oc Mine is probably Montana's Triple Divide Peak in Glacier NP: waters flow from that one mountain to Hud… https://t.co/N0xR1KM1gS,0,0,0,1,140,,1,Twitter Web App
_treagan,10,15067,0,♡ okc,936,628,34344,1382743487376883712,2021-04-15 17:11:52,@brandyyrene the sad part is I’m deadass 😭,0,0,0,0,42,,1,Twitter for iPhone
samlgarman,4,3524,1,Arizona,420,1658,55445,1382743487355887617,2021-04-15 17:11:52,@genderforkery @rebelwerewolf I don't know that I have had flashes so much as my tolerance to heat is just REALLY l… https://t.co/W8xddLCK5M,0,0,0,1,140,,2,Twitter Web App
RiverfrontFW,7,3267,31,"Fort Wayne, Indiana",2916,729,2438,1382743487326474240,2021-04-15 17:11:52,3 is for our 3 rivers! We can't wait for opening day at @ParkviewField with @TinCaps! https://t.co/djGjP2oTyW,0,0,0,1,109,,2,Twitter Web App
_soltrice,1,1154,0,he/him,10,72,2652,1382743487322415112,2021-04-15 17:11:52,@Sugoi_Ash what the actual fuck is wrong with people? this shit is disgusting,0,0,0,0,77,,1,Twitter for Android
stvewan,12,3876,70,Glasgow,2919,3023,619,1382743487318228997,2021-04-15 17:11:52,The SNP wants to hold #indyref2 in the first half of the next parliamentary term if there is a pro-independence maj… https://t.co/4wKvCYFviV,0,0,1,1,140,,0,Twitter for iPhone
SullivanLawCA,7,8812,42,"Ottawa, Ontario",4020,3215,742,1382743487305646083,2021-04-15 17:11:52,@iancapstick @DianeMariePosts Media does not have to keep sources confidential. It is only a professional conventio… https://t.co/mS0OKDt6KN,0,0,0,1,140,,2,Twitter for Android
gurkiratsgill,11,18272,25,India,3237,860,73287,1382743487301312513,2021-04-15 17:11:52,"Anything under 60 runs in last 5 with both of these at the crease will leave batting side as favourites. 

Also, do… https://t.co/nWUUPiIspu",1,8,0,1,140,,0,Twitter for Android
jaque_lpz,11,43884,10,,381,1389,121914,1382743487242596353,2021-04-15 17:11:52,@sakuranbo_berry One and ten are “Golden star” the 10th one just has Junsu’s name next to it. Number 3 is “Waiting”… https://t.co/hiZlNLKjm4,0,0,0,1,140,,1,Twitter for iPhone
BrandonBristo20,0,3951,0,,80,342,4957,1382743487225991173,2021-04-15 17:11:52,@Aric_Almirola @SmithfieldBrand Can you plz re DM me and i will respond asap and thank you brotherman hope all is w… https://t.co/DByE1WIJrH,0,0,0,1,140,,2,Twitter for Android
AustinHotaling,7,5,0,,6,4,6,1382743487200731139,2021-04-15 17:11:52,@kingblehme This is the persona of someone that likes to short stocks. It's like a person that goes to the gym ever… https://t.co/9y2OoqU8HD,0,0,0,1,140,,1,Twitter Web App
HolyCricket_513,5,3677,1,,112,289,29377,1382743487200722948,2021-04-15 17:11:52,"If someone ever finds the need to figure out Tewatia's batting (unlikely?), he has the same pickle as Shaw.

Bat fa… https://t.co/x76Ci3PBth",0,0,0,1,140,,0,Twitter for Android
LionOfLife1,2,1311,2,EDT (UTC -4) // sleeping,53,121,7022,1382743487154622472,2021-04-15 17:11:52,why is wren losing... https://t.co/9WTvV5xAWg,0,1,0,0,45,,0,Twitter Web App
Brandon83606800,1,8,0,,0,43,6,1382743487129468932,2021-04-15 17:11:52,#patsuptosomethin Pat is 100 percent moving to the big Florida to go full time nxt talent to balance the show and this beautiful show,0,0,1,0,133,,0,Twitter for iPhone
